timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1060642709,-139086561,1992068548,909.1,134,14.200000000000045,15.339,276,93
1060642710,-139086165,1992066922,924.45,134,13.799999999999955,15.372,271,92
1060642711,-139085799,1992065283,939.84,134,13.600000000000023,15.366,271,92
1060642712,-139085446,1992063648,955.17,134,13.399999999999977,15.262,276,92
1060642713,-139085176,1992062013,970.36,134,13.200000000000045,15.114,271,91
1060642714,-139085069,1992060373,985.44,134,12.799999999999955,15.015,271,91
1060642715,-139085121,1992058741,1000.39,134,12.600000000000023,14.878,267,92
1060642716,-139085342,1992057140,1015.2,133,12.399999999999977,14.715,267,90
1060642717,-139085671,1992055577,1029.83,133,12.200000000000045,14.554,271,92
1060642718,-139086082,1992054051,1044.32,133,12,14.397,267,90
1060642719,-139086552,1992052561,1058.65,133,11.800000000000011,14.243,258,90
1060642720,-139087057,1992051101,1072.82,133,11.600000000000023,14.094,262,91
1060642721,-139087592,1992049668,1086.85,133,11.600000000000023,13.96,276,93
1060642722,-139088154,1992048261,1100.75,133,11.399999999999977,13.843,276,95
1060642723,-139088754,1992046882,1114.56,133,11.199999999999989,13.74,292,95
1060642724,-139089360,1992045517,1128.26,133,11,13.653,286,95
1060642725,-139089981,1992044170,1141.89,133,10.800000000000011,13.626,286,95
1060642726,-139090659,1992042843,1155.58,133,10.600000000000023,13.726,281,95
1060642727,-139091366,1992041521,1169.36,133,10.399999999999977,13.837,286,96
1060642728,-139092175,1992040244,1183.28,133,10.199999999999989,13.964,292,96
1060642729,-139093145,1992039071,1197.31,135,9.800000000000011,14.104,276,95
1060642730,-139094240,1992037991,1211.51,135,9.600000000000023,14.256,286,95
1060642731,-139095431,1992036993,1225.86,135,9.199999999999989,14.419,281,96
1060642732,-139096663,1992036019,1240.37,135,8.800000000000011,14.583,286,95
1060642733,-139097902,1992035021,1255.05,135,8.399999999999977,14.737,286,94
1060642734,-139099056,1992033904,1269.85,135,8.199999999999989,14.864,276,95
1060642735,-139100139,1992032771,1284.3,135,7.800000000000011,14.976,286,96
1060642736,-139101253,1992031578,1299.33,135,7.600000000000023,15.08,281,94
1060642737,-139102397,1992030404,1314.44,135,7.199999999999989,15.054,276,94
1060642738,-139103462,1992029172,1329.43,135,6.800000000000011,14.938,271,94
1060642739,-139104392,1992027848,1344.32,136,6.600000000000023,14.807,267,92
1060642740,-139105030,1992026378,1359.06,136,6.399999999999977,14.643,267,91
1060642741,-139105255,1992024812,1373.59,139,6.399999999999977,14.419,258,90
1060642742,-139105153,1992023256,1387.89,138,6.399999999999977,14.146,258,90
1060642743,-139104941,1992021743,1401.89,138,6.399999999999977,13.853,258,90
1060642744,-139104761,1992020255,1415.61,138,6.399999999999977,13.579,262,91
1060642745,-139104645,1992018788,1429.08,138,6.399999999999977,13.338,267,93
1060642746,-139104519,1992017350,1442.3,138,6.399999999999977,13.114,276,92
1060642747,-139104320,1992015942,1455.31,138,6.399999999999977,12.908,267,93
1060642748,-139104140,1992014549,1468.19,138,6.399999999999977,12.844,276,94
1060642749,-139103972,1992013160,1481,138,6.399999999999977,12.759,267,94
1060642750,-139103841,1992011776,1493.73,138,6.399999999999977,12.694,271,94
1060642751,-139103765,1992010394,1506.41,138,6.399999999999977,12.659,276,94
1060642752,-139103799,1992009014,1519.07,139,6.600000000000023,12.632,276,94
1060642753,-139103955,1992007646,1531.69,139,6.600000000000023,12.617,281,94
1060642754,-139104219,1992006296,1544.31,139,6.399999999999977,12.6,271,93
1060642755,-139104545,1992004960,1556.92,138,6.399999999999977,12.545,281,94
1060642756,-139104888,1992003651,1569.31,138,6.399999999999977,12.266,271,93
1060642757,-139105200,1992002360,1581.49,138,6.399999999999977,12.074,262,90
1060642758,-139105150,1992001065,1593.47,138,6.399999999999977,11.902,271,91
1060642759,-139104399,1992000045,1605.31,138,6.399999999999977,11.777,276,94
1060642760,-139103269,1991999471,1617.05,138,6.399999999999977,11.744,286,94
1060642761,-139102071,1991999042,1628.83,138,6.399999999999977,11.768,286,95
1060642762,-139100874,1991998615,1640.6,138,6.399999999999977,11.718,281,94
1060642763,-139099698,1991998156,1652.28,138,6.399999999999977,11.645,271,92
1060642764,-139098502,1991997778,1663.9,138,6.399999999999977,11.572,286,93
1060642765,-139097309,1991997418,1675.44,138,6.399999999999977,11.511,276,95
1060642766,-139096113,1991997085,1686.93,138,6.399999999999977,11.446,271,93
1060642767,-139094924,1991996755,1698.36,136,6.399999999999977,11.393,271,93
1060642768,-139093747,1991996403,1709.73,136,6.399999999999977,11.359,276,93
1060642769,-139092574,1991996042,1721.1,136,6.399999999999977,11.365,286,94
1060642770,-139091398,1991995681,1732.49,136,6.399999999999977,11.421,281,94
1060642771,-139090218,1991995306,1743.96,136,6.399999999999977,11.489,292,95
1060642772,-139089029,1991994935,1755.49,137,6.399999999999977,11.555,276,94
1060642773,-139087841,1991994549,1767.07,137,6.399999999999977,11.596,286,94
1060642774,-139086645,1991994167,1778.7,137,6.399999999999977,11.633,298,97
1060642775,-139085451,1991993773,1790.34,137,6.399999999999977,11.636,286,96
1060642776,-139084260,1991993378,1801.96,137,6.600000000000023,11.582,286,96
1060642777,-139083074,1991992992,1813.51,137,6.800000000000011,11.494,286,95
1060642778,-139081900,1991992604,1824.95,138,7,11.385,281,95
1060642779,-139080740,1991992215,1836.29,138,7.199999999999989,11.266,271,93
1060642780,-139079594,1991991822,1847.51,138,7.399999999999977,11.177,267,93
1060642781,-139078452,1991991431,1858.68,138,7.399999999999977,11.166,271,93
1060642782,-139077305,1991991042,1869.9,136,7.199999999999989,11.27,276,93
